Description,Intent
Is my child too young to sign up?,age_limit
Do you guys have any age restrictions?,age_limit
DO I have to be 18 to open an account?,age_limit
Can my teenager have an account?,age_limit
What is minimum age for an account?,age_limit
How old do you need to be to have an account?,age_limit
are there age requirements,age_limit
Do you have an age requirement when opening an account with your service?,age_limit
May I get an account for my daughter?,age_limit
What's the youngest I can be to open an account?,age_limit
What is the appropriate age for my child to be able to open an account?,age_limit
Is my daughter eligible to open an account?,age_limit
How old do my kids need to be to open an account?,age_limit
I have young kids. Can they use this service?,age_limit
How old does my daughter have to be to open an account?,age_limit
Is there an age limit to when my child can use these services?,age_limit
"My son has just turned 13, is he old enough for an account?",age_limit
"If I want to get an account for my daughter, can I do that?",age_limit
Would I be able to get an account for my child?,age_limit
What is your age limit?,age_limit
I'd like to open an account for my kids can I do that?,age_limit
Can my children have an account?,age_limit
What is the age limit?,age_limit
Can my daughter make an account?,age_limit
How old do you have to be?,age_limit
What is the minimum age required to open an account with your service?,age_limit
Can I open an account for my offspring?,age_limit
How old do you have to be to open an account?,age_limit
How old do my kids need to be to use your service?,age_limit
Can I make an account for my daughter?,age_limit
Is there an age limit for opening an account?,age_limit
Can my children get an account?,age_limit
Do you have any age limit?,age_limit
What are the age limits for your service?,age_limit
How old do kids have to be to open an account?,age_limit
How do I open an account for my children?,age_limit
How do I set up an account for my children?,age_limit
Do you have a limit for someone's age?,age_limit
What about my children?,age_limit
Can my 8 year old grandson open an account at the bank?,age_limit
How old must I be to open an account?,age_limit
Do you offer account's for minors?,age_limit
As my kids get older are they able to get set up with their own accounts?,age_limit
How old do you need to be to open an account?,age_limit
I want to open an account for my child.,age_limit
What is the minimum age limit?,age_limit
Can I get an account for my daughter?,age_limit
I am 16 and just started working at McDonalds can I deposit my checks at your bank?,age_limit
Can I make an account for my kids?,age_limit
How old can one use your service?,age_limit
Do you have a children account available?,age_limit
Is there an age limit to get an account?,age_limit
At what age can my children use your service?,age_limit
"I need to set up an account for my daughter, how would I do that?",age_limit
I'd like to open an account for my children. How can I do that?,age_limit
How old does my daughter need to be to have her own account?,age_limit
What is the youngest age for an account?,age_limit
Am I allowed to get an account for my daughter?,age_limit
Can I open up an account for my child?,age_limit
What age do you have to be to open an account?,age_limit
Could my daughter open an account?,age_limit
We want to start a college fund for my daughter.,age_limit
Do you offer account services for children and teens?,age_limit
Am I able to open an account for my children?,age_limit
How many years old do I have to be?,age_limit
How can I open an account for my children?,age_limit
What are the requirements to open an account for a minor?,age_limit
Can I get an account for my son?,age_limit
What would the age limit be?,age_limit
Do you have to be 18 to make an account?,age_limit
I would like to get an account for my child.,age_limit
From which age can my kids use your service?,age_limit
Whats the minimum age to have an account,age_limit
How old does one need to be?,age_limit
Is there an age limit to open an account,age_limit
What are age requirements for opening an account?,age_limit
How old do you need to be to use the banks services?,age_limit
Is there any age limit?,age_limit
How old do I need to be?,age_limit
Is it possible for me to set up separate accounts for my kids?,age_limit
Do you have an age limit?,age_limit
Do you have any accounts for children ?,age_limit
What age do you have to be?,age_limit
What is needed for my daughter to open an account?,age_limit
If I want my son to have his own account is that possible?,age_limit
How old do my kids have to be use this?,age_limit
My daughter needs to open account.,age_limit
Could I open an account for children?,age_limit
Is there a limit for age?,age_limit
I want to open an account for my children,age_limit
Is there a possibility to open an account for my sons and daughters?,age_limit
What are the age requirements for service?,age_limit
Can my children open an account?,age_limit
Is there any way I could open an account for my daughter?,age_limit
what is the age limit for opening a new account,age_limit
At what age can a person open an account?,age_limit
At what age can I open an account?,age_limit
Can I open an account for my children?,age_limit
which are the branches in US?,branchInfo
where are the branches in mumbai,branchInfo
are there branches outside India,branchInfo
branch details in India,branchInfo
i want to visit the nearest branch,branchInfo
help me with branches in andheri,branchInfo
branch details in India,branchInfo
could you give me the branch address at Andheri,branchInfo
are there branches outside India,branchInfo
branch details in India,branchInfo
which are the branches in US?,branchInfo
is there a branch in cochin,branchInfo
which are the branches in US?,branchInfo
i want to visit the nearest branch,branchInfo
Do we have a branch in new york?,branchInfo
Do we have a branch in new york?,branchInfo
i want to visit the nearest branch,branchInfo
could you give me the branch address at Andheri,branchInfo
is there a branch in cochin,branchInfo
is there a branch in cochin,branchInfo
are there branches outside India,branchInfo
could you give me the branch address at Andheri,branchInfo
help me with branches in andheri,branchInfo
where are the branches in mumbai,branchInfo
help me with branches in andheri,branchInfo
Do we have a branch in new york?,branchInfo
where are the branches in mumbai,branchInfo
My card doesn't seem to work anymore,card_not_working
My card stopped working. How do I check if there is a freeze on it?,card_not_working
What's wrong with my card? The clerk at the grocery store said it was declined.,card_not_working
"I tried using my card, but it doesn't work.",card_not_working
How do I fix a broken card?,card_not_working
How do I fix my card if it is broken?,card_not_working
My card is broken,card_not_working
Can you tell me whats going on with my card it seems to be not working?,card_not_working
Please help me!  My physical card isn't working right.,card_not_working
My card is not working when I try to use it.,card_not_working
I can't seem to be able to use my card,card_not_working
"My card isn't working at all, I need assistance. It's really frustrating.",card_not_working
The card that I have isn't working. This is the physical card.,card_not_working
Why can't I use my card?,card_not_working
My card no longer works.,card_not_working
"For a week now, I have tried to use my card and it is still not working.",card_not_working
Why is my physical card not working?,card_not_working
Did you deactivate my card it's not working anymore,card_not_working
Is my card frozen?,card_not_working
What do I do if my card gets broken?,card_not_working
How can I get my card to work?,card_not_working
I think my card is broke it's not working anymore,card_not_working
I can't seem to use my card. Can you help?,card_not_working
I need clarity on why my card is not working.,card_not_working
My card will not work,card_not_working
My card doesn't work when I use it.,card_not_working
What do I do?  My card is broken.,card_not_working
My physical card is not working,card_not_working
I have not been able to use this card.,card_not_working
My card was declined at a restaurant today and I am not sure why.,card_not_working
Why doesn't my card work for any transactions?,card_not_working
When I was in a restaurant today my card was declined and payment wouldn't go through and I need help. Can you fix this?,card_not_working
I can't use my card because it is not working.,card_not_working
How do I check security settings on my card?,card_not_working
Please help.  The card won't work.,card_not_working
I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account?,card_not_working
Can you tell me what the problem with my card is? It was declined at a restaurant today.,card_not_working
Can I use app to reset PIN attempts?,card_not_working
My card was declined at a restaurant today and I don't know what the problem is.,card_not_working
Currently I can't get my card to work.,card_not_working
HOW LONG THE CARD VALIDITY,card_not_working
My actual card isn't functioning.,card_not_working
WHAT IS THE REASON FOR THAT,card_not_working
Why is my card not working anymore?,card_not_working
What can I do to make my physical card work?,card_not_working
I seem to be unable to make any transactions.,card_not_working
My card is not working.,card_not_working
"No transactions are being accepted, what's wrong with my card?",card_not_working
Something's wrong my card won't work.,card_not_working
What should I do if I can't use my card?,card_not_working
My card hasn't been working for even small transactions today.,card_not_working
Can you tell me why I can't make any transactions?,card_not_working
My card doesn't seem to work.,card_not_working
My card seems to not be working at all.,card_not_working
My card hasn't been working when I try to use it.,card_not_working
What should I do if my physical card isn't working?,card_not_working
Need help to get my card to work.,card_not_working
I haven't been able to complete any transactions on my card today. Do you know what's wrong?,card_not_working
I am unable to use my card.,card_not_working
I can't use my card for anything,card_not_working
I am having problems with my physical card.,card_not_working
I think my card is broke?,card_not_working
What do I do if the machine rejects my card?,card_not_working
How do I get my card to work?,card_not_working
I can't get the card itself to work.,card_not_working
Why won't my card accept any transactions?,card_not_working
I am unable to use my card for some reason.,card_not_working
How do I check security settings using the app?,card_not_working
"I don't know what's wrong with my card, but it has not worked at multiple places today.",card_not_working
I cannot seem to use my card.,card_not_working
What do I do if my card is not working?,card_not_working
There is something wrong with my card. Tried to use it a few times today in different places and it just didn't work. The transactions I tried to make were really small so not sure what's going on,card_not_working
How do I re-order a damaged card?,card_not_working
My card won't work right now.,card_not_working
The card is non-functional.,card_not_working
I can't seem to be able to use my card,card_not_working
WHAT IS THE MAIN REASON OF THIS PROBLEM,card_not_working
"Out of the blue, my card stopped working.",card_not_working
I can't get my actual card to work,card_not_working
My card won't work at all for anything.,card_not_working
What are ways to test why my card might not be working?,card_not_working
What do I do if i accidentally broke my card?,card_not_working
My card don't work.,card_not_working
My card won't physically work.,card_not_working
Today I used my card at a restaurant and it was declined. Why?,card_not_working
Why isn't my card working anymore?,card_not_working
I tried using my card at multiple vendors and now it's not working.,card_not_working
Help.  My card is broken.,card_not_working
I tried to use my card today in the restaurant but it didn't work and just got declined. What's wrong?,card_not_working
I wasn't able to use my card today when I went out for lunch. Wondering why that is?,card_not_working
What to do if my physical card is not working?,card_not_working
How come my card doesn't work anymore?,card_not_working
What's going on? My card wont accept any transactions.,card_not_working
My card stopped working after multiple transactions. Why?,card_not_working
My card was working but now it doesn't.,card_not_working
I need help with understanding why my card is not working.,card_not_working
Today I was out eating and my card was declined. Why's that?,card_not_working
My card isn't working at all. What happened?,card_not_working
"I think my card is broken or something. I tried using it and it wouldn't go through, please help.",card_not_working
How can it be that my Card is not functioning anymore?,card_not_working
Why won't my card work.,card_not_working
What do I do now that I can't use this card?,card_not_working
"My Netflix subscription says that there is an issue with my card information, but I thought everything was fine. Why would it be declined?",card_not_working
"Suddenly, my card won't work.",card_not_working
What should I do if my card doesn't work?,card_not_working
"Can you help me with my card, I think it's broke.",card_not_working
My card gets rejected when I try to use it,card_not_working
What's going on with my card? I've tried multiple times and it never goes through.,card_not_working
Currently my card is broken.,card_not_working
Why won't my card work anymore?,card_not_working
Why won't the machine accept my card anymore?,card_not_working
My card payment had the wrong exchange rate,card_payment_wrong_exchange_rate
What is your exchange rate between UK pounds and Russian rubles for my last transaction,card_payment_wrong_exchange_rate
I want to change the wrong exchange rate.,card_payment_wrong_exchange_rate
The exchange rate was incorrect for an item I bought.,card_payment_wrong_exchange_rate
I don't think the charges made when I had currency exchanged are right.,card_payment_wrong_exchange_rate
I purchased something abroad and the incorrect exchange rate was applied.,card_payment_wrong_exchange_rate
Why is the exchange rate different from what I expected?,card_payment_wrong_exchange_rate
The wrong exchange rate was used when I purchased an item.,card_payment_wrong_exchange_rate
Why am I being charged the wrong currency exchange when I purchased something abroad?,card_payment_wrong_exchange_rate
The currency exchange rate was wrong for a purchase I made.,card_payment_wrong_exchange_rate
There's an error in regards to the exchange rate for an item I bought.,card_payment_wrong_exchange_rate
I bought something abroad and the exchange rate applied is wrong,card_payment_wrong_exchange_rate
The correct exchange rate wasn't given to me for an item I purchased.,card_payment_wrong_exchange_rate
Why am I being charged more on exchange with things I bought abroad?,card_payment_wrong_exchange_rate
something is wrong with my exchange rate charge,card_payment_wrong_exchange_rate
I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange.,card_payment_wrong_exchange_rate
I wasn't charged the correct exchange rate for an item I purchased.,card_payment_wrong_exchange_rate
"When I bought something abroad, the exchange rate was wrong.",card_payment_wrong_exchange_rate
I bought an item that I was charged a different exchange rate for.,card_payment_wrong_exchange_rate
I think that the exchange rate was wrong for the payment made last Saturday - I was charged extra.,card_payment_wrong_exchange_rate
After purchasing an item I noticed the exchange rate was incorrect.,card_payment_wrong_exchange_rate
My rate of exchange was wrong.,card_payment_wrong_exchange_rate
This exchange rate on my purchase is wrong.,card_payment_wrong_exchange_rate
The exchange rate is incorrect for my payment.,card_payment_wrong_exchange_rate
"I'm going on a trip soon and I needed to convert my Russian ruble to UK pounds, but when I did, your company charged me above the exchange rate. Did you mess up my transaction?",card_payment_wrong_exchange_rate
the exchange rate at which my card payment is at is wrong,card_payment_wrong_exchange_rate
I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,card_payment_wrong_exchange_rate
I purchased an item and the exchange rate was wrong,card_payment_wrong_exchange_rate
The exchange rate was incorrect for this item I bought.,card_payment_wrong_exchange_rate
A foreign purchase I made has the incorrect rate applied to it.,card_payment_wrong_exchange_rate
I used foreign currency to buy something and I think the rate applied is incorrect.,card_payment_wrong_exchange_rate
The exchange rate was not correct for the item I bought.,card_payment_wrong_exchange_rate
Are you ripping people off with the exchange rate?  It can't be that atrocious between banks.,card_payment_wrong_exchange_rate
I think there was an error in your exchange rate.,card_payment_wrong_exchange_rate
Why is my exchange rate wrong?,card_payment_wrong_exchange_rate
The rate applied to my purchase in a foreign currency was wrong.,card_payment_wrong_exchange_rate
"I bought something while traveling, and the exchange rate was wrong.",card_payment_wrong_exchange_rate
Why is your exchange rate so bad?,card_payment_wrong_exchange_rate
The exchange rate you are using is bad.This can't be the official interbank exchange rate.,card_payment_wrong_exchange_rate
This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,card_payment_wrong_exchange_rate
"Hello, I believe there has been a mistake made on the exchange rate for my card. Could you please check the official interbank exchange rate for me?",card_payment_wrong_exchange_rate
I noticed that the exchange rate applied to a recent purchase I made abroad was incorrect.,card_payment_wrong_exchange_rate
I bought something and I take issue with the exchange rate applied.,card_payment_wrong_exchange_rate
It looks like the exchange rates on my card payment are wrong,card_payment_wrong_exchange_rate
My purchase used the wrong exchange rate,card_payment_wrong_exchange_rate
"I changed the currency, but why is it costing more?",card_payment_wrong_exchange_rate
The exchange rate from my card payment isn't right.,card_payment_wrong_exchange_rate
I purchased something abroad but the exchange rate is incorrect.,card_payment_wrong_exchange_rate
The fee charged when I changed rubles into British pounds was too much.,card_payment_wrong_exchange_rate
Why on earth is the exchange rate so bad?   Can I get a rate closer to the actual interbank rate?,card_payment_wrong_exchange_rate
"I guess exchange rate for my payment was not correct, as i charged extra on the last saturday.",card_payment_wrong_exchange_rate
Was I charged more than I should of been for a currency exchange?,card_payment_wrong_exchange_rate
You did not give me the correct exchange rate for an item that I bought.,card_payment_wrong_exchange_rate
my exchange rate looks wrong for my last payment,card_payment_wrong_exchange_rate
I think the rate that was applied to my purchase using foreign currency is wrong. Help!,card_payment_wrong_exchange_rate
I think I was charged extra on my payment on last Saturday.  Maybe the exchange rate was wrong?  I'd like a refund.,card_payment_wrong_exchange_rate
I was charged the wing amount for an item.,card_payment_wrong_exchange_rate
Why isn't my purchase exchange rate correct?,card_payment_wrong_exchange_rate
Why was my exchange rate a different amount than usual?,card_payment_wrong_exchange_rate
Why was the exchange rate so wrong when I bought something!,card_payment_wrong_exchange_rate
My card payment has the wrong exchange rate,card_payment_wrong_exchange_rate
My exchange rate isn't correct.,card_payment_wrong_exchange_rate
The exchange rate for my electronic payment is incorrect.,card_payment_wrong_exchange_rate
The exchange rate is incorrect for something I bought,card_payment_wrong_exchange_rate
"Last Saturday, I made a payment and the exchange rate was wrong.  I was charged too much.",card_payment_wrong_exchange_rate
Your foreign exchange rate is wrong.,card_payment_wrong_exchange_rate
"In regards to my card payment, the exchange rate is incorrect.",card_payment_wrong_exchange_rate
Seems like the exchange rate for my payment last Saturday was wrong. I was charged extra.,card_payment_wrong_exchange_rate
My foreign currency exchange has been applied incorrectly.,card_payment_wrong_exchange_rate
"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",card_payment_wrong_exchange_rate
The exchange rate for my payment last Saturday must be wrong because I was charged extra.,card_payment_wrong_exchange_rate
My payment has an incorrect exchange rate.,card_payment_wrong_exchange_rate
Why is the exchange rate for my payment incorrect?,card_payment_wrong_exchange_rate
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,card_payment_wrong_exchange_rate
"When I was traveling abroad, the exchange rate was applied wrong.",card_payment_wrong_exchange_rate
I was using a foreign currecy to make a payment and the applied the wrong rate.,card_payment_wrong_exchange_rate
The exchange rate you are using is really bad.This can't be the official interbank exchange rate.,card_payment_wrong_exchange_rate
The exchange rate I was charged for a purchase was not right.,card_payment_wrong_exchange_rate
Why didn't I receive the correct exchange rate for an item that I purchased?,card_payment_wrong_exchange_rate
What if there is an error on the exchange rate?,card_payment_wrong_exchange_rate
"I made an international purchase, but the exchange rate was wrong",card_payment_wrong_exchange_rate
Why is the exchange rate on my card wrong?,card_payment_wrong_exchange_rate
There was a problem with the exchange rate on a purchase.,card_payment_wrong_exchange_rate
Your exchange rate was off.  I was charged extra on my payment that I made last Saturday.,card_payment_wrong_exchange_rate
I think there has been a mistake on my exchange rate for this purchase.,card_payment_wrong_exchange_rate
I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?,card_payment_wrong_exchange_rate
There's an error with the rate that is charged.,card_payment_wrong_exchange_rate
I question today's exchange rate for rubles into pounds. I was hoping for a better return.,card_payment_wrong_exchange_rate
Does the exchange rate change each day for purchases? There is a different rate on my purchase.,card_payment_wrong_exchange_rate
My payment had a wrong exchange rate.,card_payment_wrong_exchange_rate
I believe you charged me too much to exchange my money,card_payment_wrong_exchange_rate
When I purchased a product in another country the currency exchange was incorrect.,card_payment_wrong_exchange_rate
"I have been charged to much for the object I bought when abroad, the exchange rate seems to be wrong.",card_payment_wrong_exchange_rate
I bought something in another country but the exchange rate is wrong,card_payment_wrong_exchange_rate
An item I bought had the wrong exchange rate applied.,card_payment_wrong_exchange_rate
The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate.,card_payment_wrong_exchange_rate
My exchange seems to have something wrong with it. I changed over Russian Ruble to UK pounds and it appears I was charged way more than I was supposed to be.,card_payment_wrong_exchange_rate
I recently bought something in foreign currency and I am unsure of the exchange rate. Is this rate applied correctly?,card_payment_wrong_exchange_rate
The currency exchange for my purchase in foreign currency is incorrect.,card_payment_wrong_exchange_rate
I bought an item at the wrong exchange rate.,card_payment_wrong_exchange_rate
An incorrect exchange rate was applied to an item I bought.,card_payment_wrong_exchange_rate
I did not receive the correct amount for the exchange rate.,card_payment_wrong_exchange_rate
The exchange rate is incorrect on an item I recently purchased in a foreign country.,card_payment_wrong_exchange_rate
I am being charged the wrong amount on my card.,card_payment_wrong_exchange_rate
I was charged extra. Was the exchange rate for my payment last Saturday wrong?,card_payment_wrong_exchange_rate
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,card_payment_wrong_exchange_rate
the exchange rate on my payment was wrong,card_payment_wrong_exchange_rate
I was charged the wrong exchange rate on a purchase,card_payment_wrong_exchange_rate
I think the exchange rate on my card payment is incorrect.,card_payment_wrong_exchange_rate
the exchange rate is wrong from something I got in another country,card_payment_wrong_exchange_rate
I think the currency exchange that's been applied is wrong.,card_payment_wrong_exchange_rate
Why is the exchange rate different on my recent purchase?,card_payment_wrong_exchange_rate
The exchange rate used on your app is really bad. I'm considering closing my account because of it.,card_payment_wrong_exchange_rate
My exchange rate was wrong for an Item I bought!,card_payment_wrong_exchange_rate
Why is the exchange rate terrible?  That can't be close to the actual interbank rate.,card_payment_wrong_exchange_rate
The exchange rate on my payment doesn't look right,card_payment_wrong_exchange_rate
I'm on holiday and I noticed a different amount for exchange rate.  Can you explain?,card_payment_wrong_exchange_rate
I purchased something overseas and the incorrect exchange rate was applied.,card_payment_wrong_exchange_rate
I received the wrong exchange rate for an item i bought.,card_payment_wrong_exchange_rate
"I recently purchased something, and the exchange rate was wrong.",card_payment_wrong_exchange_rate
They used the wrong rate when I made a purchase with foreign currency.,card_payment_wrong_exchange_rate
I have been charged way to much so something is apparently wrong with my exchange. I changed Russian Ruble into UK pounds.,card_payment_wrong_exchange_rate
I recently bought something abroad but the exchange rate is incorrect. Why?,card_payment_wrong_exchange_rate
What do i do if the exchange rate was wrong for the item i bought overseas?,card_payment_wrong_exchange_rate
I bought an item then noticed the exchange rate was wrong.,card_payment_wrong_exchange_rate
"The exchange rate you're using is terrible - this can't be the official interbank exchange rate, can it?",card_payment_wrong_exchange_rate
I bought an item and the exchange rate was wrong.,card_payment_wrong_exchange_rate
Can you please explain why the exchange rate for the item I bought is wrong?,card_payment_wrong_exchange_rate
I noticed the currency exchange rate was incorrect after paying for something in a foreign country.,card_payment_wrong_exchange_rate
"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong.",card_payment_wrong_exchange_rate
The exchange rate applied is wrong for my international purchase.,card_payment_wrong_exchange_rate
I didn't receive the correct exchange rate for an item that I bought.,card_payment_wrong_exchange_rate
I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,card_payment_wrong_exchange_rate
I checked on google and the exchange rate you are using is really bad. Can you update it?,card_payment_wrong_exchange_rate
Why was the exchange wrong for the item I purchased?,card_payment_wrong_exchange_rate
I feel as though I have been over charged for the exchange rate on my payment on last Saturday.,card_payment_wrong_exchange_rate
I noticed an extra charge on the purchase that I made last Saturday on my account. Can you see if I received the correct exchange rate?,card_payment_wrong_exchange_rate
Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.,card_payment_wrong_exchange_rate
It seems that the rate I got is incorrect.,card_payment_wrong_exchange_rate
Why was I charged extra on my last UK pound to Russian ruble exchange?,card_payment_wrong_exchange_rate
It seems that something went wrong with my exchange. I changed Russian Ruble into UK pounds but have been charged entirely too much!,card_payment_wrong_exchange_rate
I made a purchase and was charged at the wrong foreign exchange rate.,card_payment_wrong_exchange_rate
Why is the exchange rate on my card payment different than I expected?,card_payment_wrong_exchange_rate
"The exchange rate given to me after a purchase, was incorrect",card_payment_wrong_exchange_rate
Does the fee for exchange change?,card_payment_wrong_exchange_rate
The exchange rate is bad. Are you sure this is the exchange rate?,card_payment_wrong_exchange_rate
"I bought something in another currency, but the exchange rate was incorrect.",card_payment_wrong_exchange_rate
Why was the wrong rate applied when I bought something in a different currency?,card_payment_wrong_exchange_rate
Exchange rate for my card payment is wrong,card_payment_wrong_exchange_rate
"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?",card_payment_wrong_exchange_rate
Can you change the rate for the item I bought in a different currency as it is wrong?,card_payment_wrong_exchange_rate
The item i bought exchanged rate was incorrect.,card_payment_wrong_exchange_rate
The exchange rate for my card payment doesn't seem right.,card_payment_wrong_exchange_rate
Exchange rate on a purchase was incorrect,card_payment_wrong_exchange_rate
The amount of exchange was not correct for the item i bought.,card_payment_wrong_exchange_rate
"I purchased something abroad, and the exchange rate that was applied was wrong.",card_payment_wrong_exchange_rate
The exchange rate looks wrong on a holiday purchase,card_payment_wrong_exchange_rate
"I  have been charged more than I should for the presents I bought  when abroad, the problem seems to be the exchange rate.",card_payment_wrong_exchange_rate
I bough an item and the exchange rate was incorrect.,card_payment_wrong_exchange_rate
Are you sure this is the interbank exchange rate? This rate is really bad.,card_payment_wrong_exchange_rate
My currency rate is inaccurate.,card_payment_wrong_exchange_rate
I am not receiving the correct exchange rate on my card.,card_payment_wrong_exchange_rate
"I purchased something while traveling, and the exchange rate applied was wrong.",card_payment_wrong_exchange_rate
I made a purchase but the exchange rate is wrong?,card_payment_wrong_exchange_rate
Why was I charged a higher exchange rate when I bought something abroad?,card_payment_wrong_exchange_rate
The exchange rate that was applied for an international purchase was wrong.,card_payment_wrong_exchange_rate
Why did you charge me more for my purchase? It was a foreign currency and you didn't offer market rate,card_payment_wrong_exchange_rate
"Give me my card, I need it now!",cardArrival
What is your shipping policies for cards?,cardArrival
are you sending me my card?,cardArrival
How long is a delivery to the US?,cardArrival
What's the reason my new card hasn't come?,cardArrival
can the delivery be specific to my needs?,cardArrival
I haven't gotten my new card.,cardArrival
When will I recieve my new card?,cardArrival
How long is the wait for my card?,cardArrival
I need to find out where the card is that I ordered.,cardArrival
I need my card soon.,cardArrival
How long are deliveries to the US?,cardArrival
why hasnt my card come in yet?,cardArrival
My card hasn't shown up yet.,cardArrival
How long does it take for deliver to the US?,cardArrival
Is there a reason my new card hasn't arrived yet?,cardArrival
Can I specify a day for my card to be delivered?,cardArrival
I would like to track the card you sent to me.,cardArrival
"A card has been sent to me, how do I track it?",cardArrival
I ordered my card but it still isn't here,cardArrival
"My card has not been delivered yet and its been a week since I ordered it, please help",cardArrival
how long should I expect to wait for my card to arrive?,cardArrival
What can I do if my card still hasn't arrived after 2 weeks?,cardArrival
How can I check on the status of my new card?,cardArrival
Can I pay more to get it deliver quicker?,cardArrival
How long should I wait for the card to arrive?,cardArrival
Can it be delivered on a certain date?,cardArrival
How can I track my card's delivery?,cardArrival
i need to expedite my card,cardArrival
Is there a specific date it can be delivered by?,cardArrival
Can you tell me why I haven't received my new card?,cardArrival
Why has my new card still not come?,cardArrival
How long will it take to get to the US?,cardArrival
How long will I have to wait for my new card?,cardArrival
Will I be able to track the card that was sent to me?,cardArrival
Should I keep waiting for my card to be delivered?,cardArrival
Where is my new card if I haven't received it yet?,cardArrival
How long until my card will get here?,cardArrival
Where is the card I ordered 2 weeks ago?,cardArrival
When will I get my card shipped to me?,cardArrival
When are cards shipped?,cardArrival
Is there a way I can get my card expedited?,cardArrival
I need my card right away.,cardArrival
Do I have a say when it's delivered?,cardArrival
maximum how many days get the courier?,cardArrival
Send me my card now! ASAP,cardArrival
Can you help me track my card?,cardArrival
When will I receive the card?,cardArrival
When can I expect to receive my card?,cardArrival
I'm worried my card might be lost in the mail? How long does it usually take to arrive?,cardArrival
I would like to make sure it is delivered on a certain date.,cardArrival
how much to get my card in 2 days?,cardArrival
What is the delivery time to the US?,cardArrival
Can I track the card you sent to me?,cardArrival
Is there a reason my new card hasn't arrived?,cardArrival
I don't have my card after 1 week. What are my next steps?,cardArrival
Can I get my card fast tracked?,cardArrival
